year,dist_name,precipitation
2009,Chennai,110.03
2009,Coimbatore,105.68
2009,Cuddalore,105.28
2009,Dharmapuri,72.27
2009,Dindigul,71.62
2009,Erode,57.14
2009,Kancheepuram,101.45
2009,Kanyakumari,105.98
2009,Karur,57.96
2009,Krishnagiri,64.54
2009,Madurai,75.78
2009,Nagapattinam,123.73
2009,Namakkal,65.02
2009,Perambular,82.39
2009,Pudukkottai,82.66
2009,Ramananthapuram,75.09
2009,Salem,73.57
2009,Sivagangai,82.71
2009,Thanjavur,93.94
2009,The Nilgiris,150.89
2009,Theni,87.2
2009,Thirunelveli,85.48
2009,Thiruvallur,96.42
2009,Thiruvarur,111.02
2009,Thoothukudi,62.43
2009,Tiruchirappalli,68.12
2009,Tiruppur,58.77
2009,Tiruvannamalai,84.05
2009,Vellore,74.81
2009,Villupuram,90.86
2009,Virudhunagar,72.61
2010,Ariyalur,111.6
2010,Chennai,117.21
2010,Coimbatore,120.87
2010,Cuddalore,120.08
2010,Dharmapuri,86.15
2010,Dindigul,93.92
2010,Erode,72.07
2010,Kancheepuram,109.65
2010,Kanyakumari,142.84
2010,Karur,78.55
2010,Krishnagiri,75.38
2010,Madurai,100.65
2010,Nagapattinam,140.22
2010,Namakkal,83.3
2010,Perambular,101.23
2010,Pudukkottai,113.04
2010,Ramananthapuram,96.54
2010,Salem,90.5
2010,Sivagangai,113.49
2010,Thanjavur,114.93
2010,The Nilgiris,151.92
2010,Theni,112.03
2010,Thirunelveli,114.38
2010,Thiruvallur,109.93
2010,Thiruvarur,129.49
2010,Thoothukudi,78.43
2010,Tiruchirappalli,91.86
2010,Tiruppur,74.17
2010,Tiruvannamalai,96.66
2010,Vellore,87.25
2010,Villupuram,103.58
2010,Virudhunagar,94.58
2011,Ariyalur,91.09
2011,Chennai,131.46
2011,Coimbatore,92.65
2011,Cuddalore,108.92
2011,Dharmapuri,79.39
2011,Dindigul,67.86
2011,Erode,58.23
2011,Kancheepuram,123.81
2011,Kanyakumari,115.72
2011,Karur,59.07
2011,Krishnagiri,73.08
2011,Madurai,70.66
2011,Nagapattinam,120.74
2011,Namakkal,68.19
2011,Perambular,83.69
2011,Pudukkottai,75.19
2011,Ramananthapuram,70.41
2011,Salem,78.52
2011,Sivagangai,72.99
2011,Thanjavur,88.32
2011,The Nilgiris,137.1
2011,Theni,82.79
2011,Thirunelveli,96.63
2011,Thiruvallur,117.64
2011,Thiruvarur,106.1
2011,Thoothukudi,69.42
2011,Tiruchirappalli,68.63
2011,Tiruppur,55.4
2011,Tiruvannamalai,103.04
2011,Vellore,92.09
2011,Villupuram,102.9
2011,Virudhunagar,72.0
