year,dist_name,nitrogen_kharif_consumption_tons,nitrogen_rabi_consumption_tons,phosphate_kharif_consumption_tons,phosphate_rabi_consumption_tons,potash_kharif_consumption_tons,potash_rabi_consumption_tons,total_kharif_consumption_tons,total_rabi_consumption_tons
1997,Perambular,0.0,2319.0,0.0,1707.0,0.0,1898.0,0.0,5924.0
1997,Pudukkottai,5649.0,13301.0,5178.0,4790.0,4083.0,6576.0,14910.0,24667.0
1997,Ramananthapuram,1957.0,8823.0,844.0,1281.0,616.0,1100.0,3417.0,11204.0
1997,Salem,12260.0,13627.0,6300.0,5903.0,12244.0,5857.0,30804.0,25387.0
1997,Sivagangai,1537.0,5941.0,616.0,990.0,562.0,899.0,2715.0,7830.0
1997,Thanjavur,19516.0,18440.0,6871.0,3212.0,6588.0,3943.0,32975.0,25595.0
1997,The Nilgiris,3513.0,2935.0,910.0,389.0,2730.0,1800.0,7153.0,5124.0
1997,Theni,0.0,4151.0,0.0,1616.0,0.0,1568.0,0.0,7335.0
1997,Thirunelveli,5005.0,16858.0,2279.0,5105.0,2412.0,5814.0,9696.0,27777.0
1997,Thiruvallur,0.0,1548.0,0.0,1471.0,0.0,1862.0,0.0,4881.0
1997,Thiruvarur,0.0,1054.0,0.0,238.0,0.0,638.0,0.0,1930.0
1997,Thoothukudi,2908.0,3815.0,1004.0,1196.0,842.0,1424.0,4754.0,6435.0
1997,Tiruchirappalli,20506.0,20666.0,11216.0,7074.0,17023.0,14360.0,48745.0,42100.0
1997,Tiruvannamalai,8396.0,14397.0,4974.0,5900.0,4464.0,5489.0,17834.0,25786.0
1997,Vellore,13898.0,16452.0,5734.0,5061.0,6543.0,5166.0,26175.0,26679.0
1997,Villupuram,12315.0,20376.0,5919.0,7700.0,7031.0,7695.0,25265.0,35771.0
1997,Virudhunagar,2126.0,7569.0,954.0,1722.0,1030.0,2322.0,4110.0,11613.0
1998,Chennai,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Coimbatore,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
