year,dist_name,rice_area_1000_ha,rice_production_1000_tons,rice_yield_kg_per_ha
2007,Thanjavur,150.23,479.64,3193.0
2007,The Nilgiris,1.11,4.29,3865.0
2007,Theni,14.4,61.66,4282.0
2007,Thirunelveli,83.71,323.94,3870.0
2007,Thiruvallur,78.71,286.01,3634.0
2007,Thiruvarur,151.63,311.31,2053.0
2007,Thoothukudi,18.06,64.74,3585.0
2007,Tiruchirappalli,61.29,227.33,3709.0
2007,Tiruvannamalai,112.15,385.91,3441.0
2007,Vellore,44.33,148.37,3347.0
2007,Villupuram,145.4,480.33,3304.0
2007,Virudhunagar,28.21,93.09,3300.0
2008,Ariyalur,24.57,75.63,3078.0
2008,Chennai,0.0,0.0,0.0
2008,Coimbatore,2.57,4.8,1868.0
2008,Cuddalore,107.82,223.88,2076.0
2008,Dharmapuri,20.37,77.73,3816.0
2008,Dindigul,19.64,72.66,3700.0
2008,Erode,38.05,196.32,5160.0
2008,Kancheepuram,90.87,329.21,3623.0
2008,Kanyakumari,18.19,83.66,4599.0
2008,Karur,15.63,60.16,3849.0
2008,Krishnagiri,14.62,52.3,3577.0
2008,Madurai,66.7,267.23,4006.0
2008,Nagapattinam,170.84,225.15,1318.0
2008,Namakkal,13.91,67.3,4838.0
2008,Perambular,12.4,38.16,3077.0
2008,Pudukkottai,96.39,179.77,1865.0
2008,Ramananthapuram,128.8,202.99,1576.0
2008,Salem,29.93,120.38,4022.0
2008,Sivagangai,80.83,132.14,1635.0
2008,Thanjavur,177.09,357.16,2017.0
2008,The Nilgiris,0.78,3.05,3910.0
2008,Theni,15.58,80.29,5153.0
2008,Thirunelveli,91.32,374.21,4098.0
2008,Thiruvallur,82.24,315.86,3841.0
2008,Thiruvarur,178.04,206.61,1160.0
2008,Thoothukudi,22.4,108.16,4829.0
2008,Tiruchirappalli,72.53,262.38,3618.0
2008,Tiruppur,11.06,20.64,1866.0
2008,Tiruvannamalai,101.89,317.94,3120.0
2008,Vellore,47.42,171.87,3624.0
2008,Villupuram,146.64,451.14,3077.0
2008,Virudhunagar,32.5,104.59,3218.0
2009,Ariyalur,25.98,80.46,3097.0
2009,Coimbatore,2.82,9.88,3504.0
2009,Cuddalore,111.52,322.96,2896.0
2009,Dharmapuri,20.31,79.68,3923.0
2009,Dindigul,16.65,78.85,4736.0
2009,Erode,38.11,156.42,4104.0
2009,Kancheepuram,91.02,331.43,3641.0
2009,Kanyakumari,17.31,76.24,4404.0
2009,Karur,15.01,64.09,4270.0
2009,Krishnagiri,16.49,64.98,3941.0
2009,Madurai,50.99,203.62,3993.0
2009,Nagapattinam,157.86,432.03,2737.0
2009,Namakkal,10.69,45.95,4298.0
2009,Perambular,12.09,42.37,3505.0
2009,Pudukkottai,95.3,188.45,1977.0
2009,Ramananthapuram,133.89,234.88,1754.0
2009,Salem,24.38,106.46,4367.0
2009,Sivagangai,77.33,138.1,1786.0
2009,Thanjavur,162.94,427.14,2621.0
2009,The Nilgiris,0.51,1.78,3490.0
2009,Theni,15.37,77.71,5056.0
2009,Thirunelveli,85.99,355.88,4139.0
2009,Thiruvallur,80.94,256.29,3166.0
2009,Thiruvarur,166.25,483.13,2906.0
2009,Thoothukudi,19.55,96.68,4945.0
2009,Tiruchirappalli,64.3,266.27,4141.0
2009,Tiruppur,11.96,50.18,4196.0
2009,Tiruvannamalai,105.18,324.98,3090.0
2009,Vellore,39.77,135.83,3415.0
2009,Villupuram,148.45,467.83,3151.0
2009,Virudhunagar,26.62,64.72,2431.0
2010,Ariyalur,25.21,97.87,3882.0
2010,Coimbatore,2.67,10.42,3903.0
2010,Cuddalore,115.82,301.51,2603.0
2010,Dharmapuri,22.86,93.21,4077.0
2010,Dindigul,18.35,98.05,5343.0
2010,Erode,36.66,154.54,4215.0
2010,Kancheepuram,95.74,378.63,3955.0
2010,Kanyakumari,16.99,80.39,4732.0
2010,Karur,14.81,56.99,3848.0
2010,Krishnagiri,16.34,70.13,4292.0
2010,Madurai,61.06,260.06,4259.0
2010,Nagapattinam,156.05,321.51,2060.0
2010,Namakkal,14.06,53.96,3838.0
2010,Perambular,14.25,54.71,3839.0
2010,Pudukkottai,92.9,208.87,2248.0
2010,Ramananthapuram,131.4,254.0,1933.0
2010,Salem,33.3,147.78,4438.0
